Username,Comment
@Lalithagracemadumuri10778,"ఇవ్వాళా నాకు చాలా హ్యాపీ గ ఉంది లైఫ్ అంత నాతో ఇలాగె ఉంటావా

 తనేమందో ఆందో లేదో తెలీలేదేయ్ 
నిజంగా మదెమ్ విందో విందో లేదో కలేం కాదే ఇదంతా 
ఇంత లోనే 
అంత మైకమ్ పనికిరాదే ప్రాణమ పరవశం లో మునిగిపోతే పైకిరాగాలమా 

తనేమందో ఆందో లేదో తెలీలేదేయ్ నిజంగా మదెమ్ విందో విందో లేదో కలేం కాదే 

ఇదంతా కుడివైపున ఇంకో హృదయం ఉన్న సరిపోదో ఏమో 
ఈ వెలుగును దాచనంటెయ్ పడమర లో నైనా హృదయం ఈరోజే చూసా నెమో 
మనసంతా ప్రేమై పోతే ఎగిరొచ్చినా ఎదో లోకం న చుట్టూ వెలిసిందేమో మైమరపున నే నిలిచుంటే 

ఇంత లోనే అంత మైకమ్ పనికిరాదే ప్రాణమ పరవశం లో మునిగిపోతే పైకిరాగాలమా 
తనేమందో ఆందో లేదో తెలీలేదేయ్ నిజంగా 
మదెమ్ విందో విందో లేదో కలేం కాదే ఇదంతా ఇదే క్షణం సిలై నిలవని సదా మనం ఇలా మిగలని జన్మంటే 

ఇదంటు తెలిదేయ్ ఇన్నాళ్లు ని జంటై 

ఇవ్వాలె జీవించా నూరేళ్లు 
తనేమందో మదెం విందో తనేమందో ఆందో లేదో తెలీలేదేయ్ నిజంగా 
మదెమ్ విందో విందో లేదో కలేం కాదే ఇదంతా 
ఇంత లోనే అంత మైకామ్ పనికిరాదే ప్రాణమ పరవశం లో మునిగిపోతే పైకిరాగాలమా 
తనేమందో ఆందో లేదో తెలీలేదేయ్ నిజంగా 
మదెమ్ విందో విందో లేదో కలేం కాదే ఇదంతా"
@kheuaikqmqk2814,Ekkado kodanthundhi seenu same edho pata la undhi enti
@srinivaspatel0707,❤❤
@RazibDaru-d5v,My very favourite song it’s ❤❤❤❤❤❤❤❤❤❤❤❤❤
@eeraathale,post 4k version
@mayurireddy8196,Beautiful locations🎉
@divyasworld123,2024❤❤❤❤
@thaslimakolimi8411,Who are listening in 2024?
@shaikluthufulla2576,Wow wt a Great voice Both Of U☺️ Nice
@sindhu1128,"My favourite song and jodi 
Wishing them see again as jodi in movie ❤❤"
@KashinathGadge,I love ram a lot
@samuelchoppala8036,Mickey J Meyer melodies🎶❤‍🩹
@DhanaLakshmi-u2l,Super lyrics chay❤
@gondlasowjanya6997,Super Song❤❤❤❤❤
@NikhilAkhirala,Nice song
@itzchaitanya21,Wholesome >> 😌❤
@itzchaitanya21,Wholesome >> 😌❤
@devarishravankuruma4063,నాకు చాలా ఇష్టమైన పాట ఇది❤❤
@babujan883,2024 lo ❤❤❤❤❤❤❤❤ like plase😊😊😊😊😊😊😊😊
@sarmashussain3272,Thank you Mikky J.Mayer for fantastic feel good Music for Angel KAJAL AGARWAL Stylish RAPO ❤
@sarmashussain3272,Beauty in Singer's voice...Slow song But Sweet Song...Favourite Song ❤❤❤
@Sai_Manideep_Ginaga.,"It feels like nostalgia ❤ 
Got down into those days of 2010 and 2011"
@krishnaal123,My favorite song ever❤❤❤
@SiyaS-b5z,Awesome song ❤
@ShohidulIslam-ot8zw,Rapo ❤❤
@KumarKumar-ix4jo,Ram Pothineni And Kajal Aggarwal Most Underrated Pair In The TFI ✨
@prabhahaashini9166,"Hiii ram ,this is my fav song"
@vishnus189,Kajal💕💕
@manaintivantagadhi,Hats off to Mickey j mejor sir
@monalrajkargeti1518,ram pothineni …🥲 come homeeeeeeee🦋♾️
@luckybharadwaj,Ram devdas songs yepud upload chestav
@sivaram7849,"It is the magic of mickey j mayor. 
His best album is kottha bangaru lokam. We can feel our college days."
@rhythmrealm124,I don't understand this song bcoz I'm Pakistani but I enjoy it a lot I'm a biggest biggest biggest fan of RAM❤
@sunilmaheshbabu,Good song ❤
@MohanGiri-pd4xi,❤❤❤
@sindhulakshmi8878,Original sindhu enkuda pesiye theranum ram pothineni
@malathishankarmalathishank7137,Supper song  cute song nice
@maibubbisk2423,D z
@kammilasrinivasrao5129,My favourite song RAPO sir very nice so cute lovely smile ram sir
@tejaswinigm8780,💓💓
@Nandupriya199,Love so much ram
@Radha5486,❤❤
@SVKTVNEWS,Just Mickey J Meyar Musical Awesome
@mousamsonowal9712,I love you Ram pothineni ❤️❤️ love from Assam 🔥🔥❤️😍
@mrmantucreastion,https://www.youtube.com/@indianguyrisi1124
@sudheermatte,"Hey mohan, how are you?"
@sudheermatte,"Hey mohan, how are you?"
@arifanaikwadi9899,Most favourite song and most favourite hero ❤️❤️❤️
@VijayKumar-eq4zv,Very melodies song in 2009 Ganesh
@prabhahaashini9166,"Hiiiiiii ram, what doing"
@s.dhaanyasri,I love you brother😍😘☺
@pagalprom1040,Big fan
@Kajalians_1906,Who is the kajal agarwal tap ❤️
@Kajalians_1906,Masterpiece ❤️❤️❤️❤️
@smarikakafle5612,I love you very muchhhhhh RAM♥️
@noohaarichowdary7683,And when is your marriage
@noohaarichowdary7683,Ram when is your next movie release
@atluntadhimanathoni1421,❤❤❤
@suneel6823,Thanks♥️♥️♥️♥️♥️
@samuels1212,This song itself feels like nostalgia
@shrideva,"I LOVE YOU RAPO
MY FAVORITE ACTOR
YOU SHOULD RULE THE SCREENS
I DON'T UNDERSTAND TELUGU
I AM FROM TAMIL NADU
TODAY MY EXAM IS STARTING AND I AM IN MY SCHOOL
YOUR SONG MAKES ME CHILL
LOVE FROM UAE"
@shanmukhkarthik2924,Trance🎧🎧
@kmansvlogs,Prabhu mujhe lga ki koi new video higi lekin ye to ganesh just ganesh ki video hai aap to apna vlogs hi upload kr dete
@mahadevmarblefettinggroup,I'm your very very big fan sir Uuu my favorite Actre and I like it your amazing experience
@chethanchethu879,😍
@anudia8605,ఇది పాట కాదు 90s kids feelings what e song mind blowing
@bhavyag899,❤️❤️
@kalyanchakravarthi1260,Thank u annay
@sailajagrandhi1864,Supperrrrrrr songgggg👌👌👌
@kiranram7760,Ganaraja Song release cheyanddi Sir
@RAmPOthineniEdits,Feel Good Song 😍❤
@RAmPOthineniEdits,One of the Best Love Songs in USTAAD Ram POthineni's Career ❤
@bottleguard1957,👌🥰
@sagarlawate9500,*#RAPO**...🖤💜🥰*
@sunilmmsunil2576,Ram annaya you tube channel ha
@mohanrathod4061,Super ❤️💞
@papolugeetanath7503,My 8th standard memories 😊💗😘😀
@shivapranawkande2512,Sound llo noise unddi
@saiganesh3800,Ee paata koosam.ocharu cinema.theatres ki kani movie rod.sadly
@anilamireddy8291,🥰❤️❤️😍😍❤️❤️😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘
@mallasai6160,Evergreen song
@sravaniseetha,I always fall for your performance in this song❤️‍🔥🤌
@tarunbains2463,Super song sir 😄
@uppadakoteswarrao5362,My favorite song 😍😍😍
@Sailu120,Love u rapo😘❤
@deepikaram1907,FAVORITE SONG❤️😍🎶
@tanjali9444,Ram ❤️❤️
@Dance_with_Bithika,Hayeeee😍🥺❤️
@vishwajeet_edit,how are you sir
@thomouni1583,Meeru yemantaru ram sir
@ambadasambadas426,Fav one ❤
@prasanthineelam3741,Love u ❤ ram
@sandipbarm8428,Awwww 🙂❤️.....ram and kajal both are looking so cute 🌚❤️
@mr_sipul7289,Next pan India Star 🌟
@Myvinnu,English version please
@chittampallysaikumar,Fav
@rohitkadagala7962,Anna i love forever and ever love u so much of .....❤️
@ammulu173,"Hey ram elaunnav,sitha ramam movie lo ram antuntey nuvey gruthastunav bab 😍😘😍"
@Sunil-foods,Anna love this song and ur Look
@Sunil-foods,Anna love this song ur look
@upendra6142,"I love this movie and songs 😍, Missing Kajal ❤️"
@satishram7472,Best melody 💗 song 90s kids ki appatlo
@chilldude6612,"One of the Most Loved songs of Ustaad RAPO ♥️🎶
All time favourite for many fans!!"
@anupama_meher,🔥🔥🔥😍😍😍♥️😘
@n_c_editz17,Ek dusreko sattha denge to aage badenge
@Siya-ix4ub,Most favourite song 😘 Rapo love you ❤️
@meenakshis204,Most favourite song ♥️
@chanduaggarwalofficial,Forever ♾️ and ever fav song...😭💘✨
@lakshmishashank7032,Fav song 💖💖😍😍
@Kajal_fan,Forever fav one 💕
@sakshi0388,😚❤️
@RFAVijayawada,How Many Of You Love This Song? 👍❤
@RFAVijayawada,Everyone's Favorite Song 😍❤
@Saikrishna_509,Tell me about your experience Ram bro✌️#ganeshmovie❤️
@narasruthikeerthi2433,This song is very soothing....💜 Please add kandereega movie songs also.....
@omkeshpawan,Iam eagerly waiting for this song🎵😍😍
@SMART._BOY,RAM 😍
@nargisamirkhan9005,I m your biggest fan
@SMART._BOY,SMART..❣️
@SMART._BOY,Iam big fan of u Ram
@nargisamirkhan9005,I love you ram pothineni
@SMART._BOY,Hello
